2008/02/01	a	17	
2008/02/02	a	12	
2008/02/03	a	9	
2008/02/04	a	15	
2008/02/05	a	10	
2008/02/06	a	10	
2008/02/07	a	16	
2008/02/08	a	9	
2008/02/09	a	2	
2008/02/10	a	4	
2008/02/11	a	10	
2008/02/12	a	13	
2008/02/13	a	10	
2008/02/14	a	10	
2008/02/15	a	13	
2008/02/16	a	8	
2008/02/17	a	6	
2008/02/18	a	13	
2008/02/19	a	9	
2008/02/20	a	15	
2008/02/21	a	14	
2008/02/22	a	6	
2008/02/23	a	7	
2008/02/24	a	6	
2008/02/25	a	9	
2008/02/26	a	12	
2008/02/27	a	7	
2008/02/28	a	14	
2008/02/29	a	4	
2008/03/01	a	6	
2008/03/02	a	10	
2008/03/03	a	10	
2008/03/04	a	13	
2008/03/05	a	7	
2008/03/06	a	17	
2008/03/07	a	13	
2008/03/08	a	7	
2008/03/09	a	1	
2008/03/10	a	15	
2008/03/11	a	13	
2008/03/12	a	14	
2008/03/13	a	12	
2008/03/14	a	6	
2008/03/15	a	4	
2008/03/16	a	4	
2008/03/17	a	12	
2008/03/18	a	12	
2008/03/19	a	13	
2008/03/20	a	15	
2008/03/21	a	14	
2008/03/22	a	12	
2008/03/23	a	17	
2008/03/24	a	11	
2008/03/25	a	7	
2008/03/26	a	17	
2008/03/27	a	18	
2008/03/28	a	15	
2008/03/29	a	2	
2008/03/30	a	9	
2008/03/31	a	22	
2008/04/01	a	16	
2008/04/02	a	10	
2008/04/03	a	13	
2008/04/04	a	8	
2008/04/05	a	8	
2008/04/06	a	7	
2008/04/07	a	10	
2008/04/08	a	12	
2008/04/09	a	16	
2008/04/10	a	15	
2008/04/11	a	14	
2008/04/12	a	4	
2008/04/13	a	5	
2008/04/14	a	14	
2008/04/15	a	9	
2008/04/16	a	12	
2008/04/17	a	13	
2008/04/18	a	10	
2008/04/19	a	4	
2008/04/20	a	5	
2008/04/21	a	10	
2008/04/22	a	11	
2008/04/23	a	14	
2008/04/24	a	10	
2008/04/25	a	10	
2008/04/26	a	4	
2008/04/27	a	7	
2008/04/28	a	19	
2008/04/29	a	11	
2008/04/30	a	11	
2008/05/01	a	8	
2008/05/02	a	7	
2008/05/03	a	9	
2008/05/04	a	3	
2008/05/05	a	16	
2008/05/06	a	14	
2008/05/07	a	16	
2008/05/08	a	18	
2008/05/09	a	10	
2008/05/10	a	2	
2008/05/11	a	8	
2008/05/12	a	12	
2008/05/13	a	9	
2008/05/14	a	11	
2008/05/15	a	13	
2008/05/16	a	13	
2008/05/17	a	7	
2008/05/18	a	5	
2008/05/19	a	15	
2008/05/20	a	17	
2008/05/21	a	10	
2008/05/22	a	7	
2008/05/23	a	11	
2008/05/24	a	6	
2008/05/25	a	8	
2008/05/26	a	10	
2008/05/27	a	9	
2008/05/28	a	11	
2008/05/29	a	16	
2008/05/30	a	10	
2008/05/31	a	2	
2008/06/01	a	3	
2008/06/02	a	12	
2008/06/03	a	18	
2008/06/04	a	18	
2008/06/05	a	15	
2008/06/06	a	8	
2008/06/07	a	3	
2008/06/08	a	8	
2008/06/09	a	14	
2008/06/10	a	10	
2008/06/11	a	11	
2008/06/12	a	13	
2008/06/13	a	8	
2008/06/14	a	1	
2008/06/15	a	5	
2008/06/16	a	7	
2008/06/17	a	13	
2008/06/18	a	12	
2008/06/19	a	10	
2008/06/20	a	12	
2008/06/21	a	4	
2008/06/22	a	4	
2008/06/23	a	15	
2008/06/24	a	12	
2008/06/25	a	22	
2008/06/26	a	13	
2008/06/27	a	11	
2008/06/28	a	4	
2008/06/29	a	4	
2008/06/30	a	10	
2008/07/01	a	8	
2008/07/02	a	14	
2008/07/03	a	13	
2008/07/04	a	10	
2008/07/05	a	1	
2008/07/06	a	1	
2008/07/07	a	14	
2008/07/08	a	8	
2008/07/09	a	8	
2008/07/10	a	9	
2008/07/11	a	9	
2008/07/12	a	3	
2008/07/13	a	2	
2008/07/14	a	8	
2008/07/15	a	14	
2008/07/16	a	12	
